personID,name
5124,John Lasseter
158,Tom Hanks
4558737,Tim Allen
725543,Don Rickles
1815,Jim Varney
1728,Wallace Shawn
1652,John Ratzenberger
1633,Annie Potts
1898234,John Morris
902184,Erik von Detten
582418,Laurie Metcalf
388,R. Lee Ermey
422710,Penn Jillette
9933465,Jack Angel
2653,Joe Johnston
245,Robin Williams
404993,Jonathan Hyde
379,Kirsten Dunst
682300,Bradley Pierce
1372,Bonnie Hunt
1564,Bebe Neuwirth
4979,David Alan Grier
165101,Patricia Clarkson
2123,Adam Hann-Byrd
120410,Laura Bell Bundy
359695,James Handy
222043,Howard Deutch
527,Walter Matthau
493,Jack Lemmon
47,Sophia Loren
268,Ann-Margret
10408303,Burgess Meredith
435,Daryl Hannah
1629,Kevin Pollak
756218,Katie Sagona
1845,Forest Whitaker
1365,Whitney Houston
291,Angela Bassett
222643,Loretta Devine
5375,Lela Rochon
2138,Gregory Hines
371660,Dennis Haysbert
932112,Mykelti Williamson
4729,Michael Beach
502442,Leon
682495,Wendell Pierce
265668,Donald Faison
760254,Jeffrey D. Sams
1056772,Brandon Hammond
601469,Kenya Moore
796124,Charles Shyer
188,Steve Martin
473,Diane Keaton
1737,Martin Short
931090,Kimberly Williams-Paisley
627624,George Newbern
1085,Kieran Culkin
703,BD Wong
324533,Peter Michael Goetz
11038,Jane Adams
506405,Eugene Levy
150427,Rebecca Chambers
520,Michael Mann
199,Al Pacino
134,Robert De Niro
174,Val Kilmer
685,Jon Voight
1744,Tom Sizemore
893204,Diane Venora
312,Amy Brenneman
171,Ashley Judd
836071,Wes Studi
505971,Ted Levine
1209,William Fichtner
204,Natalie Portman
6888,Tom Noonan
1628,Sydney Pollack
1230,Harrison Ford
566,Julia Ormond
1427,Greg Kinnear
545408,Nancy Marchand
939801,John Wood
1077,Richard Crenna
1141,Angie Dickinson
452,Lauren Holly
412374,Dana Ivey
173125,Miriam Colon
272,Fanny Ardant
501256,Valérie Lemercier
115730,Patrick Bruel
48250,Becky Ann Baker
382072,Peter Hewitt
1795,Jonathan Taylor Thomas
605,Brad Renfro
777760,Eric Schweig
734236,Charles Rocket
942195,Amy Wright
574540,Michael McShane
783033,Marian Seldes
337,Rachael Leigh Cook
280890,Lanny Flaherty
574882,Courtland Mead
533381,Peter Mackenzie
483351,Heath Lamberts
1423543,William Newman
380231,Blake Heron
1382,Peter Hyams
241,Jean-Claude Van Damme
959,Powers Boothe
855,Raymond J. Barry
942925,Whittni Wright
539678,Ross Malinger
2126,Dorian Harewood
573896,Kate McNeil
309461,Michael Gaston
511964,Audra Lindley
216507,Brian Delate
49945,Karen Elise Baldwin
132709,Martin Campbell
112,Pierce Brosnan
293,Sean Bean
1713,Izabella Scorupco
463,Famke Janssen
833,Joe Don Baker
1132,Judi Dench
1059,Robbie Coltrane
1409,Tchéky Karyo
424167,Gottfried John
1086,Alan Cumming
94039,Samantha Bond
457655,Michael Kitchen
330601,Serena Gordon
475336,Simon Kunz
1661,Rob Reiner
140,Michael Douglas
906,Annette Bening
640,Martin Sheen
150,Michael J. Fox
526,Samantha Mathis
907323,Shawna Waldron
1601,David Paymer
377,Richard Dreyfuss
797151,Nina Siemaszko
5176,Wendie Malick
82507,Beau Billingslea
834373,Gail Strickland
539651,Joshua Malina
316,Mel Brooks
558,Leslie Nielsen
1493,Peter MacNicol
3551891,Steven Weber
1865,Amy Yasbeck
771,Lysette Anthony
466327,Harvey Korman
87578,Mark Blankfield
146903,Megan Cavanagh
720890,Clive Revill
1621079,Chuck McCann
775213,Avery Schreiber
339619,Ezio Greggio
3507609,Simon Wells
102,Kevin Bacon
1364,Bob Hoskins
403,Bridget Fonda
3526993,Jim Cummings
2015,Phil Collins
542706,Danny Mann
728411,Robbie Rist
225549,Sandra Dickinson
546816,Miriam Margolyes
801786,Donald Sinden
731679,William Roberts
832089,Oliver Stone
164,Anthony Hopkins
260,Joan Allen
438,Ed Harris
550855,E.G. Marshall
1383,David Hyde Pierce
649,Paul Sorvino
5460,Mary Steenburgen
687,J.T. Walsh
249,James Woods
66028,Brian Bedford
2324646,Kevin Dunn
277882,Fyvush Finkel
1317,Renny Harlin
133,Geena Davis
546,Matthew Modine
1449,Frank Langella
1999,Maury Chaykin
538869,Patrick Malahide
789976,Stan Shaw
513010,Rex Linn
1230616,Paul Dillon
557733,Christopher Masterson
803765,Jimmie F. Skaggs
950867,Harris Yulin
153704,Carl Chase
942202,Angus Wright
94297,Ken Bones
217,Martin Scorsese
232,Sharon Stone
582,Joe Pesci
454419,Alan King
428618,L.Q. Jones
898634,Frank Vincent
89183,John Bloom
698697,Melissa Prophet
68633,Vinny Vella
487,Ang Lee
281424,James Fleet
929489,Tom Wilkinson
910040,Harriet Walter
701,Kate Winslet
668,Emma Thompson
428121,Gemma Jones
424,Hugh Grant
291968,Emilie François
819655,Elizabeth Spriggs
362735,Robert Hardy
25503,Isabelle Amyes
614,Alan Rickman
4129803,Greg Wise
25978,Allison Anders
734319,Alexandre Rockwell
205423,Sammi Davis
4866,Amanda De Cadenet
420,Valeria Golino
187,Madonna
1746,Ione Skye
666,Lili Taylor
1860,Alicia Witt
884,Jennifer Beals
698998,David Proval
104,Antonio Banderas
674,Tamlyn Tomita
161,Salma Hayek
644203,Steve Oedekerk
120,Jim Carrey
573862,Ian McNeice
1003,Simon Callow
264330,Maynard Eziashi
348409,Bob Gunton
645683,Sophie Okonedo
203508,Tommy Davidson
15382,Adewale Akinnuoye-Agbaje
3348224,Andrew Steel
817748,Bruce Spence
747849,Joseph Ruben
648,Wesley Snipes
437,Woody Harrelson
182,Jennifer Lopez
86706,Robert Blake
3139182,Chris Cooper
341055,Joe Grifasi
837175,Skipp Sudduth
488095,Vincent Laresca
890709,Nelson Vasquez
665932,Vincent Patrick
878152,Aida Turturro
665114,Vincent Pastore
