userID,username,email,password,yob
92046.0,gutierrezheidi,awhite@hotmail.com,,
133921.0,rachel76,harperjames@hotmail.com,,
67491.0,hudsonbrandon,joshuasteele@gmail.com,,
94154.0,zacharyterrell,martinwilliams@hotmail.com,,
123711.0,kathleen03,katherine83@yahoo.com,,
58588.0,amason,ityler@yahoo.com,,
153086.0,barrykeith,royjaclyn@gmail.com,,
109731.0,blynn,ruthford@hotmail.com,,
130333.0,jimenezyolanda,samantha50@gmail.com,,
107650.0,curtisgina,deborah29@yahoo.com,,
143049.0,collinsdouglas,cindyjohnson@gmail.com,,
22253.0,lucasnicole,edwinfields@yahoo.com,,
152690.0,stephaniesmith,joann97@gmail.com,,
20179.0,sguerrero,blackburntroy@hotmail.com,,
61412.0,johnnygutierrez,hostephanie@gmail.com,,
36618.0,brandon62,hjoseph@gmail.com,,
75830.0,denise58,stevenslauren@hotmail.com,,
55189.0,whitecarla,miguelsmith@yahoo.com,,
134109.0,johnknapp,smithdavid@yahoo.com,,
32253.0,parkerrobin,jjenkins@hotmail.com,,
126637.0,jennifer28,saramorales@gmail.com,,
30879.0,koconnor,samanthamarshall@gmail.com,,
86462.0,randallwilson,denisegonzalez@gmail.com,,
57548.0,mmann,lindsaylevy@hotmail.com,,
54353.0,alyssabrown,rita46@hotmail.com,,
53837.0,zreynolds,jason26@yahoo.com,,
144475.0,lawrencegraham,vchavez@yahoo.com,,
52190.0,jesse75,lisa73@yahoo.com,,
156183.0,rasmussenrobert,robertsnicole@gmail.com,,
93424.0,chasedenise,amanda97@hotmail.com,,
78849.0,cherrybrandon,davismichael@gmail.com,,
110971.0,yjennings,ryan76@gmail.com,,
115900.0,davidsims,cindyfranco@hotmail.com,,
80914.0,davidkelly,ebennett@yahoo.com,,
88230.0,garciabrian,cunninghambrenda@gmail.com,,
132651.0,kyleschroeder,oneillerica@gmail.com,,
135672.0,mathew43,april96@gmail.com,,
97452.0,erobinson,dennishailey@gmail.com,,
111311.0,adamhawkins,kristinazamora@yahoo.com,,
98227.0,amandalopez,christopherwolf@gmail.com,,
80974.0,shannoncassie,wardchloe@yahoo.com,,
20055.0,woodsjohn,bstrong@hotmail.com,,
60655.0,rmartin,rita96@yahoo.com,,
49403.0,stevenbrooks,katiejones@gmail.com,,
60305.0,gomezeric,srodriguez@gmail.com,,
62199.0,ashleytrujillo,sheri93@yahoo.com,,
93855.0,kathleen57,perezcynthia@hotmail.com,,
19247.0,gardnerashley,aprilerickson@gmail.com,,
149183.0,rogersamy,ytorres@yahoo.com,,
72315.0,lewiscourtney,leonardchristine@yahoo.com,,
90691.0,shawangela,inorton@yahoo.com,,
32778.0,mcintyredavid,steven75@gmail.com,,
24869.0,jenniferhester,desiree75@gmail.com,,
106507.0,mdaniels,ckrause@gmail.com,,
162516.0,denisescott,xsmith@yahoo.com,,
37438.0,jorge74,christine54@gmail.com,,
61010.0,tinacopeland,ocraig@gmail.com,,
34987.0,transcott,brooksstephanie@hotmail.com,,
46264.0,vasquezrachel,bryce52@hotmail.com,,
140577.0,williamsshannon,nguyenkenneth@gmail.com,,
2177.0,bhatfield,salvarez@gmail.com,,
73949.0,gallagherstephanie,james73@gmail.com,,
162047.0,gloriacasey,sarah28@hotmail.com,,
72356.0,williamjohnson,michelesampson@yahoo.com,,
47153.0,deborah60,perkinsdaniel@gmail.com,,
151102.0,julie82,kyle96@yahoo.com,,
89464.0,rossangela,fryegwendolyn@gmail.com,,
17474.0,steelevincent,normansusan@yahoo.com,,
17783.0,colsen,jeremy18@hotmail.com,,
150005.0,ralphhall,ojohnson@gmail.com,,
115102.0,michellemarsh,bobbyjohnson@hotmail.com,,
85757.0,davidsanders,smithjohn@hotmail.com,,
8619.0,severett,jessica74@yahoo.com,,
140862.0,bbender,brittany50@yahoo.com,,
103611.0,codyhendricks,robertaustin@hotmail.com,,
122011.0,uwalker,fowlerkevin@gmail.com,,
144714.0,robinsonryan,lrogers@hotmail.com,,
136949.0,johnsonjeffery,ricardo79@hotmail.com,,
33844.0,jessica26,irwinangela@hotmail.com,,
30643.0,ygutierrez,wardmichael@yahoo.com,,
39896.0,ulucas,lmiller@hotmail.com,,
137293.0,obrienalexis,fbean@gmail.com,,
156480.0,watsonjessica,amccormick@yahoo.com,,
109090.0,xavila,johnsonandrew@yahoo.com,,
18306.0,ebryan,pachecodouglas@yahoo.com,,
75309.0,landrykristen,wgarza@gmail.com,,
20744.0,christianwilliams,robin04@gmail.com,,
61803.0,williamsjessica,robertclark@gmail.com,,
160747.0,briancollins,dunlaprichard@gmail.com,,
140838.0,andrew45,ytorres@gmail.com,,
39742.0,dawn50,kthompson@hotmail.com,,
115907.0,johnsonlauren,cwatts@gmail.com,,
111038.0,justinreed,bryan57@gmail.com,,
29104.0,hhuynh,jeffrey00@gmail.com,,
152107.0,bennettjeffrey,macktodd@gmail.com,,
29803.0,kendra31,brandon28@gmail.com,,
136310.0,wharrington,rodriguezmonica@gmail.com,,
22175.0,wernerryan,jennifer85@gmail.com,,
39415.0,douglas49,anita55@gmail.com,,
24610.0,qkaufman,quinnkristen@gmail.com,,
